  Lines          Copies        Function name
    1208 (0.4%)    281 (1.8%)  core::ptr::non_null::NonNull<T>::as_ref
    1165 (0.4%)      5 (0.0%)  hashbrown::raw::RawTable<T>::resize
    1104 (0.4%)     69 (0.4%)  core::alloc::layout::size_align
     988 (0.3%)     52 (0.3%)  <smallvec::SmallVec<A> as core::ops::deref::DerefMut>::deref_mut
     944 (0.3%)     59 (0.4%)  hashbrown::raw::Bucket<T>::as_ptr
     934 (0.3%)      1 (0.0%)  ra_ssr::matching::Matcher::attempt_match_record_field_list
     925 (0.3%)      5 (0.0%)  hashbrown::raw::RawTable<T>::new_uninitialized
     888 (0.3%)    280 (1.7%)  alloc::sync::Arc<T>::inner
     885 (0.3%)      5 (0.0%)  hashbrown::raw::RawTable<T>::try_with_capacity
     882 (0.3%)     49 (0.3%)  <salsa::blocking_future::Promise<T> as core::ops::drop::Drop>::drop
     849 (0.3%)    283 (1.8%)  core::mem::align_of_val
     834 (0.3%)      1 (0.0%)  ra_ssr::matching::Matcher::attempt_match_sequences
     825 (0.3%)      1 (0.0%)  ra_ssr::parsing::parse_constraint
     787 (0.3%)      1 (0.0%)  ra_ssr::parsing::parse_placeholder
     782 (0.3%)     52 (0.3%)  smallvec::SmallVecData<A>::heap
     775 (0.3%)     25 (0.2%)  core::fmt::ArgumentV1::new
     759 (0.3%)     69 (0.4%)  core::alloc::layout::Layout::new
     732 (0.3%)    354 (2.2%)  core::ptr::non_null::NonNull<T>::as_ptr
     729 (0.3%)      1 (0.0%)  alloc::str::join_generic_copy
     680 (0.2%)     68 (0.4%)  core::ptr::const_ptr::<impl *const T>::offset
     672 (0.2%)      5 (0.0%)  hashbrown::map::HashMap<K,V,S>::insert
     661 (0.2%)      5 (0.0%)  core::iter::traits::iterator::Iterator::try_fold
     643 (0.2%)      1 (0.0%)  <rowan::api::SyntaxNode<L> as core::fmt::Debug>::fmt
     637 (0.2%)      1 (0.0%)  ra_ssr::matching::Matcher::attempt_match_token
     630 (0.2%)      2 (0.0%)  core::str::pattern::TwoWaySearcher::next
     626 (0.2%)     52 (0.3%)  smallvec::SmallVecData<A>::inline_mut
     625 (0.2%)     10 (0.1%)  hashbrown::raw::RawTable<T>::rehash_in_place::{{closure}}
     624 (0.2%)     52 (0.3%)  alloc::vec::Vec<T>::from_raw_parts
     624 (0.2%)     52 (0.3%)  smallvec::SmallVec<A>::inline_capacity
     611 (0.2%)      5 (0.0%)  hashbrown::raw::RawTable<T>::insert
     605 (0.2%)      5 (0.0%)  hashbrown::raw::RawTable<T>::find_insert_slot
     566 (0.2%)    279 (1.7%)  core::ptr::unique::Unique<T>::as_ptr
     543 (0.2%)     26 (0.2%)  core::ptr::read
     519 (0.2%)      1 (0.0%)  ra_ssr::matching::Matcher::attempt_match_node
     508 (0.2%)      9 (0.1%)  alloc::vec::Vec<T>::push
     502 (0.2%)      1 (0.0%)  ra_ssr::MatchFinder::output_debug_for_nodes_at_range
     496 (0.2%)      1 (0.0%)  ra_ssr::MatchFinder::find_matches
     495 (0.2%)      5 (0.0%)  hashbrown::raw::RawTable<T>::reserve_rehash
     489 (0.2%)     11 (0.1%)  alloc::alloc::box_free
     486 (0.2%)     10 (0.1%)  core::option::Option<T>::ok_or
     480 (0.2%)     60 (0.4%)  core::mem::needs_drop
     478 (0.2%)      1 (0.0%)  ra_ssr::parsing::parse_pattern
     470 (0.2%)     52 (0.3%)  smallvec::SmallVecData<A>::heap_mut
     452 (0.2%)      1 (0.0%)  ra_ssr::parsing::<impl core::str::FromStr for ra_ssr::SsrRule>::from_str
     438 (0.2%)      1 (0.0%)  ra_ssr::parsing::<impl core::str::FromStr for ra_ssr::SsrPattern>::from_str
     432 (0.2%)     62 (0.4%)  core::ptr::unique::Unique<T>::new_unchecked
     432 (0.2%)      1 (0.0%)  ra_ssr::matching::Matcher::try_match
     396 (0.1%)      5 (0.0%)  core::result::Result<T,E>::map_err
     385 (0.1%)     55 (0.3%)  alloc::raw_vec::RawVec<T>::from_raw_parts
     384 (0.1%)      1 (0.0%)  <ra_ssr::MatchDebugInfo as core::fmt::Debug>::fmt
     378 (0.1%)     54 (0.3%)  core::slice::<impl core::ops::index::IndexMut<I> for [T]>::index_mut
     375 (0.1%)      3 (0.0%)  alloc::raw_vec::RawVec<T,A>::allocate_in
     371 (0.1%)     53 (0.3%)  core::slice::from_raw_parts_mut
     357 (0.1%)      5 (0.0%)  std::thread::local::LocalKey<T>::try_with
     353 (0.1%)      6 (0.0%)  core::result::Result<T,E>::unwrap_or_else
     352 (0.1%)     13 (0.1%)  core::mem::replace
     348 (0.1%)      4 (0.0%)  core::fmt::builders::DebugList::entries
     343 (0.1%)     49 (0.3%)  lock_api::mutex::Mutex<R,T>::guard
     342 (0.1%)      1 (0.0%)  <rowan::api::SyntaxToken<L> as core::fmt::Debug>::fmt
     339 (0.1%)      1 (0.0%)  ra_ssr::parsing::validate_rule
     333 (0.1%)      7 (0.0%)  core::slice::<impl [T]>::iter
     320 (0.1%)      4 (0.0%)  core::result::Result<T,E>::map
     315 (0.1%)      3 (0.0%)  core::iter::traits::exact_size::ExactSizeIterator::len
     312 (0.1%)     80 (0.5%)  core::mem::maybe_uninit::MaybeUninit<T>::as_mut_ptr
     312 (0.1%)     52 (0.3%)  smallvec::SmallVec<A>::spilled
     310 (0.1%)     10 (0.1%)  core::ptr::slice_from_raw_parts
     305 (0.1%)      1 (0.0%)  ra_ssr::parsing::tokenize
     301 (0.1%)      7 (0.0%)  core::result::Result<T,E>::unwrap
     298 (0.1%)     27 (0.2%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
     298 (0.1%)      7 (0.0%)  <core::slice::Iter<T> as core::iter::traits::iterator::Iterator>::next
     296 (0.1%)      2 (0.0%)  smol_str::Repr::new
     295 (0.1%)     59 (0.4%)  hashbrown::raw::Bucket<T>::drop
     294 (0.1%)     49 (0.3%)  <lock_api::mutex::MutexGuard<R,T> as core::ops::deref::DerefMut>::deref_mut
     294 (0.1%)     49 (0.3%)  <lock_api::mutex::MutexGuard<R,T> as core::ops::drop::Drop>::drop
     294 (0.1%)     49 (0.3%)  lock_api::mutex::Mutex<R,T>::lock
     292 (0.1%)     75 (0.5%)  <I as core::iter::traits::collect::IntoIterator>::into_iter
     291 (0.1%)      1 (0.0%)  <rustc_hash::FxHasher as core::hash::Hasher>::write
     285 (0.1%)      1 (0.0%)  ra_ssr::replacing::render_replace
     279 (0.1%)      9 (0.1%)  alloc::raw_vec::RawVec<T,A>::reserve
     276 (0.1%)      7 (0.0%)  core::slice::Iter<T>::post_inc_start
     275 (0.1%)      7 (0.0%)  core::result::Result<T,E>::ok
     272 (0.1%)      2 (0.0%)  core::fmt::builders::DebugMap::entries
     271 (0.1%)     24 (0.1%)  <core::result::Result<T,E> as core::ops::try::Try>::from_error
     271 (0.1%)      1 (0.0%)  ra_ssr::matching::<impl ra_ssr::SsrPattern>::tree_for_kind
     256 (0.1%)      1 (0.0%)  ra_ssr::matching::only_ident
     254 (0.1%)      1 (0.0%)  core::char::methods::encode_utf8_raw
     249 (0.1%)      4 (0.0%)  core::option::Option<T>::and_then
     241 (0.1%)      1 (0.0%)  ra_ssr::matching::Matcher::check_constraint
     236 (0.1%)     59 (0.4%)  hashbrown::raw::RawTable<T>::buckets
     236 (0.1%)     59 (0.4%)  hashbrown::raw::RawTable<T>::is_empty_singleton
     233 (0.1%)      1 (0.0%)  rowan::cursor::SyntaxNode::preorder_with_tokens::{{closure}}
     224 (0.1%)     55 (0.3%)  <alloc::sync::Arc<T> as core::ops::deref::Deref>::deref
     216 (0.1%)      5 (0.0%)  hashbrown::raw::Bucket<T>::write
     216 (0.1%)      3 (0.0%)  <alloc::vec::Vec<T> as core::iter::traits::collect::IntoIterator>::into_iter
     214 (0.1%)      2 (0.0%)  <alloc::vec::Vec<T> as alloc::vec::SpecExtend<T,I>>::spec_extend
     209 (0.1%)      1 (0.0%)  ra_ssr::parsing::expect_token
     204 (0.1%)      2 (0.0%)  alloc::vec::Vec<T>::extend_desugared
     200 (0.1%)      1 (0.0%)  <core::str::pattern::StrSearcher as core::str::pattern::Searcher>::next
     200 (0.1%)      1 (0.0%)  ra_ssr::SsrMatches::flatten_into
     198 (0.1%)     66 (0.4%)  core::ptr::const_ptr::<impl *const T>::add
     192 (0.1%)      2 (0.0%)  core::iter::traits::iterator::Iterator::fold
     191 (0.1%)      3 (0.0%)  <alloc::vec::IntoIter<T> as core::iter::traits::iterator::Iterator>::next
     188 (0.1%)      2 (0.0%)  <core::iter::adapters::TakeWhile<I,P> as core::iter::traits::iterator::Iterator>::try_fold::check::{{closure}}
     188 (0.1%)      1 (0.0%)  <ra_ssr::parsing::SsrTemplate as core::str::FromStr>::from_str
     187 (0.1%)      1 (0.0%)  alloc::raw_vec::finish_grow
     184 (0.1%)      1 (0.0%)  salsa::runtime::Runtime::is_current_revision_canceled
     183 (0.1%)      3 (0.0%)  <T as alloc::string::ToString>::to_string
     178 (0.1%)     23 (0.1%)  core::ptr::swap_nonoverlapping
     173 (0.1%)      1 (0.0%)  core::sync::atomic::atomic_compare_exchange
     173 (0.1%)      1 (0.0%)  core::sync::atomic::atomic_compare_exchange_weak
     171 (0.1%)     34 (0.2%)  core::ptr::write
     170 (0.1%)      1 (0.0%)  ra_hir_ty::db::infer_wait::{{closure}}
     165 (0.1%)      5 (0.0%)  hashbrown::map::HashMap<K,V,S>::with_hasher
     164 (0.1%)      2 (0.0%)  <core::option::Option<T> as core::cmp::PartialEq>::eq
     162 (0.1%)      2 (0.0%)  core::cmp::max_by
     162 (0.1%)      2 (0.0%)  core::cmp::min_by
     162 (0.1%)      1 (0.0%)  ra_ssr::MatchFinder::debug_where_text_equal
     159 (0.1%)     53 (0.3%)  <core::ops::range::RangeFull as core::slice::SliceIndex<[T]>>::index_mut
     157 (0.1%)     83 (0.5%)  <core::mem::manually_drop::ManuallyDrop<T> as core::ops::deref::DerefMut>::deref_mut
     157 (0.1%)      5 (0.0%)  ra_ssr::parsing::<impl core::str::FromStr for ra_ssr::SsrPattern>::from_str::{{closure}}
     154 (0.1%)     27 (0.2%)  core::intrinsics::copy_nonoverlapping
     153 (0.1%)      3 (0.0%)  <alloc::vec::IntoIter<T> as core::iter::traits::iterator::Iterator>::size_hint
     152 (0.1%)      2 (0.0%)  <core::iter::adapters::TakeWhile<I,P> as core::iter::traits::iterator::Iterator>::try_fold
     149 (0.1%)     59 (0.4%)  core::ptr::mut_ptr::<impl *mut T>::drop_in_place
     149 (0.1%)     15 (0.1%)  core::mem::manually_drop::ManuallyDrop<T>::new
     149 (0.1%)      1 (0.0%)  ra_ssr::matching::<impl ra_ssr::parsing::NodeKind>::matches
     148 (0.1%)      1 (0.0%)  alloc::raw_vec::RawVec<T,A>::shrink
     147 (0.1%)      1 (0.0%)  alloc::sync::Arc<T>::allocate_for_layout
     140 (0.0%)     10 (0.1%)  <hashbrown::scopeguard::ScopeGuard<T,F> as core::ops::drop::Drop>::drop
     138 (0.0%)      1 (0.0%)  <alloc::alloc::Global as core::alloc::AllocRef>::shrink
     136 (0.0%)      2 (0.0%)  <core::slice::Iter<T> as core::iter::traits::iterator::Iterator>::size_hint
     135 (0.0%)     21 (0.1%)  core::ptr::non_null::NonNull<T>::new_unchecked
     135 (0.0%)      5 (0.0%)  hashbrown::raw::RawTable<T>::reserve
     133 (0.0%)      1 (0.0%)  <core::iter::sources::Successors<T,F> as core::iter::traits::iterator::Iterator>::next
     132 (0.0%)      1 (0.0%)  core::alloc::layout::Layout::extend
     130 (0.0%)     10 (0.1%)  alloc::raw_vec::RawVec<T,A>::capacity
     130 (0.0%)      1 (0.0%)  <alloc::alloc::Global as core::alloc::AllocRef>::grow
     129 (0.0%)      1 (0.0%)  ra_ssr::matching::Matcher::validate_range
     128 (0.0%)      4 (0.0%)  core::ptr::const_ptr::<impl *const T>::offset_from
     124 (0.0%)     31 (0.2%)  <&T as core::fmt::Debug>::fmt
     122 (0.0%)     34 (0.2%)  <core::result::Result<T,E> as core::ops::try::Try>::into_result
     120 (0.0%)     10 (0.1%)  hashbrown::raw::RawTable<T>::new_uninitialized::{{closure}}
     118 (0.0%)     59 (0.4%)  hashbrown::raw::RawTable<T>::free_buckets::{{closure}}
     117 (0.0%)      9 (0.1%)  alloc::raw_vec::RawVec<T,A>::set_memory
     117 (0.0%)      1 (0.0%)  <alloc::alloc::Global as core::alloc::AllocRef>::alloc
     115 (0.0%)      5 (0.0%)  hashbrown::raw::RawTable<T>::new
     114 (0.0%)     27 (0.2%)  core::mem::manually_drop::ManuallyDrop<T>::into_inner
     114 (0.0%)      3 (0.0%)  <alloc::vec::IntoIter<T> as core::ops::drop::Drop>::drop
     114 (0.0%)      1 (0.0%)  core::slice::<impl [T]>::copy_from_slice
     113 (0.0%)      2 (0.0%)  core::iter::adapters::map_fold::{{closure}}
     113 (0.0%)      1 (0.0%)  ra_ssr::parsing::RawSearchPattern::placeholders_by_stand_in
     112 (0.0%)      2 (0.0%)  <core::iter::adapters::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
     110 (0.0%)      2 (0.0%)  <core::option::Option<T> as core::fmt::Debug>::fmt
     110 (0.0%)      1 (0.0%)  rowan::utility_types::WalkEvent<T>::map
     108 (0.0%)      9 (0.1%)  alloc::raw_vec::RawVec<T,A>::try_reserve
     107 (0.0%)      3 (0.0%)  core::result::Result<T,E>::expect
     107 (0.0%)      2 (0.0%)  ra_ssr::matching::record_match_fails_reasons_scope
     107 (0.0%)      1 (0.0%)  <ra_ssr::parsing::RawSearchPattern as core::str::FromStr>::from_str
     106 (0.0%)      1 (0.0%)  core::iter::range::<impl core::iter::traits::iterator::Iterator for core::ops::range::Range<A>>::nth
     106 (0.0%)      1 (0.0%)  ra_ssr::matching::Phase::record_ignored_comments
     105 (0.0%)     55 (0.3%)  core::cell::UnsafeCell<T>::get
     105 (0.0%)      3 (0.0%)  alloc::raw_vec::RawVec<T,A>::new_in
     105 (0.0%)      3 (0.0%)  core::option::Option<T>::unwrap
     105 (0.0%)      1 (0.0%)  <core::str::pattern::StrSearcher as core::str::pattern::Searcher>::next_match
     104 (0.0%)      2 (0.0%)  <core::iter::adapters::Cloned<I> as core::iter::traits::iterator::Iterator>::fold
     103 (0.0%)      1 (0.0%)  ra_ssr::replacing::matches_to_edit_at_offset
     100 (0.0%)     10 (0.1%)  alloc::vec::Vec<T>::new
     100 (0.0%)     10 (0.1%)  core::ptr::mut_ptr::<impl *mut T>::offset
     100 (0.0%)     10 (0.1%)  hashbrown::scopeguard::guard
      99 (0.0%)      9 (0.1%)  <alloc::vec::Vec<T> as core::ops::deref::Deref>::deref
      99 (0.0%)      3 (0.0%)  hashbrown::map::make_hash
      99 (0.0%)      1 (0.0%)  smol_str::Repr::as_str
      98 (0.0%)      7 (0.0%)  core::slice::<impl [T]>::len
      98 (0.0%)      1 (0.0%)  <core::iter::LoopState<C,B> as core::cmp::PartialEq>::eq
      98 (0.0%)      1 (0.0%)  <rowan::utility_types::NodeOrToken<N,T> as core::cmp::PartialEq>::eq
      98 (0.0%)      1 (0.0%)  ra_ssr::parsing::Placeholder::new
      97 (0.0%)      8 (0.0%)  core::ops::function::FnOnce::call_once
      96 (0.0%)      3 (0.0%)  core::cell::Cell<T>::replace
      95 (0.0%)      1 (0.0%)  core::str::next_code_point
      95 (0.0%)      1 (0.0%)  ra_ssr::parsing::RawSearchPattern::as_rust_code
      93 (0.0%)     11 (0.1%)  core::ptr::unique::Unique<T>::as_ref
      92 (0.0%)      2 (0.0%)  <core::iter::adapters::TakeWhile<I,P> as core::iter::traits::iterator::Iterator>::fold
      92 (0.0%)      2 (0.0%)  <rowan::utility_types::NodeOrToken<N,T> as core::clone::Clone>::clone
      92 (0.0%)      2 (0.0%)  core::iter::traits::iterator::Iterator::for_each
      91 (0.0%)      1 (0.0%)  ra_prof::hprof::Profiler::detail
      90 (0.0%)      1 (0.0%)  <ra_ssr::matching::PatternIterator as core::iter::traits::iterator::Iterator>::next
      90 (0.0%)      1 (0.0%)  core::option::Option<T>::get_or_insert_with
      88 (0.0%)     29 (0.2%)  core::mem::maybe_uninit::MaybeUninit<T>::uninit
      87 (0.0%)      1 (0.0%)  <std::panicking::begin_panic::PanicPayload<A> as core::panic::BoxMeUp>::take_box
      85 (0.0%)      1 (0.0%)  text_size::range::TextRange::checked_sub
      84 (0.0%)      6 (0.0%)  hashbrown::map::HashMap<K,V,S>::get_key_value::{{closure}}
      84 (0.0%)      3 (0.0%)  alloc::slice::hack::to_vec
      83 (0.0%)      1 (0.0%)  rowan::cursor::SyntaxNode::first_token
      82 (0.0%)      1 (0.0%)  <smol_str::Repr as core::clone::Clone>::clone
      81 (0.0%)      9 (0.1%)  alloc::raw_vec::RawVec<T,A>::capacity_from_bytes
      81 (0.0%)      9 (0.1%)  alloc::vec::Vec<T>::as_ptr
      81 (0.0%)      3 (0.0%)  hashbrown::map::HashMap<K,V,S>::get_key_value
      81 (0.0%)      1 (0.0%)  core::str::SplitInternal<P>::get_end
      80 (0.0%)      1 (0.0%)  <ra_ssr::SsrPattern as core::fmt::Debug>::fmt
      79 (0.0%)      1 (0.0%)  rowan::cursor::SyntaxNode::preorder_with_tokens
      78 (0.0%)      2 (0.0%)  core::option::Option<T>::expect
      77 (0.0%)      1 (0.0%)  ra_ssr::MatchFinder::edits_for_file
      77 (0.0%)      1 (0.0%)  ra_ssr::parsing::NodeKind::from
      73 (0.0%)      1 (0.0%)  core::str::SplitInternal<P>::next
      71 (0.0%)      1 (0.0%)  ra_ssr::matching::Matcher::attempt_match_record_field_list::{{closure}}
      70 (0.0%)     10 (0.1%)  core::slice::from_raw_parts
      70 (0.0%)      5 (0.0%)  hashbrown::raw::RawTable<T>::probe_seq
      70 (0.0%)      5 (0.0%)  hashbrown::raw::RawTable<T>::resize::{{closure}}
      70 (0.0%)      1 (0.0%)  core::ptr::swap_nonoverlapping_bytes
      69 (0.0%)     23 (0.1%)  core::mem::swap
      69 (0.0%)      5 (0.0%)  core::option::Option<T>::is_some
      69 (0.0%)      1 (0.0%)  <ra_ssr::parsing::Constraint as core::fmt::Debug>::fmt
      69 (0.0%)      1 (0.0%)  <ra_ssr::parsing::Placeholder as core::clone::Clone>::clone
      68 (0.0%)      5 (0.0%)  std::collections::hash::map::HashMap<K,V,S>::insert
      68 (0.0%)      1 (0.0%)  <ra_ssr::parsing::PatternElement as core::fmt::Debug>::fmt
      68 (0.0%)      1 (0.0%)  <rowan::utility_types::NodeOrToken<N,T> as core::fmt::Debug>::fmt
      68 (0.0%)      1 (0.0%)  rowan::api::<impl core::convert::From<rowan::utility_types::NodeOrToken<rowan::cursor::SyntaxNode,rowan::cursor::SyntaxToken>> for rowan::utility_types::NodeOrToken<rowan::api::SyntaxNode<L>,rowan::api::SyntaxToken<L>>>::from
      67 (0.0%)      5 (0.0%)  core::ptr::mut_ptr::<impl *mut T>::write
      66 (0.0%)      2 (0.0%)  <core::iter::adapters::Copied<I> as core::iter::traits::iterator::Iterator>::try_fold
      66 (0.0%)      1 (0.0%)  ra_hir_ty::db::infer_wait
      65 (0.0%)     10 (0.1%)  hashbrown::map::HashMap<K,V,S>::insert::{{closure}}
      65 (0.0%)      5 (0.0%)  hashbrown::raw::RawTable<T>::set_ctrl
      64 (0.0%)      4 (0.0%)  <[T] as core::fmt::Debug>::fmt
      63 (0.0%)      3 (0.0%)  <<alloc::vec::IntoIter<T> as core::ops::drop::Drop>::drop::DropGuard<T> as core::ops::drop::Drop>::drop
      63 (0.0%)      1 (0.0%)  core::alloc::layout::Layout::repeat
      63 (0.0%)      1 (0.0%)  hashbrown::raw::RawTable<T>::erase_no_drop
      62 (0.0%)      1 (0.0%)  core::iter::adapters::map_try_fold::{{closure}}
      62 (0.0%)      1 (0.0%)  core::str::traits::<impl core::slice::SliceIndex<str> for core::ops::range::RangeFrom<usize>>::index
      60 (0.0%)      5 (0.0%)  std::collections::hash::map::HashMap<K,V,S>::with_hasher
      60 (0.0%)      2 (0.0%)  core::iter::range::<impl core::iter::traits::iterator::Iterator for core::ops::range::Range<A>>::next
      60 (0.0%)      1 (0.0%)  <ra_ssr::matching::Match as core::fmt::Debug>::fmt
      59 (0.0%)      3 (0.0%)  ra_ssr::matching::Matcher::attempt_match_token_tree::{{closure}}
      59 (0.0%)      1 (0.0%)  std::thread::local::fast::Key<T>::try_initialize
      58 (0.0%)     10 (0.1%)  <T as core::convert::Into<U>>::into
      58 (0.0%)      1 (0.0%)  core::str::<impl str>::split
      58 (0.0%)      1 (0.0%)  ra_ssr::MatchFinder::add_search_pattern
      58 (0.0%)      1 (0.0%)  std::thread::local::fast::Key<T>::get
      57 (0.0%)      3 (0.0%)  <hashbrown::map::Iter<K,V> as core::iter::traits::iterator::Iterator>::next::{{closure}}
      57 (0.0%)      2 (0.0%)  <core::iter::LoopState<C,B> as core::ops::try::Try>::into_result
      56 (0.0%)      1 (0.0%)  core::str::traits::<impl core::slice::SliceIndex<str> for core::ops::range::Range<usize>>::index
      56 (0.0%)      1 (0.0%)  ra_ssr::matching::PlaceholderMatch::new
      55 (0.0%)      5 (0.0%)  <&alloc::vec::Vec<T> as core::iter::traits::collect::IntoIterator>::into_iter
      55 (0.0%)      1 (0.0%)  hashbrown::map::HashMap<K,V,S>::remove_entry
      54 (0.0%)      9 (0.1%)  alloc::raw_vec::RawVec<T,A>::needs_to_grow
      54 (0.0%)      9 (0.1%)  alloc::vec::Vec<T>::reserve
      54 (0.0%)      3 (0.0%)  core::array::<impl core::convert::TryFrom<&[T]> for &[T; N]>::try_from
      54 (0.0%)      2 (0.0%)  <core::option::Option<T> as core::clone::Clone>::clone
      54 (0.0%)      1 (0.0%)  <core::iter::adapters::Peekable<I> as core::iter::traits::iterator::Iterator>::next
      54 (0.0%)      1 (0.0%)  core::slice::Iter<T>::make_slice
      54 (0.0%)      1 (0.0%)  ra_ssr::matching::PlaceholderMatch::from_range
      53 (0.0%)      4 (0.0%)  core::iter::adapters::Map<I,F>::new
      53 (0.0%)      1 (0.0%)  <ra_ssr::parsing::PatternElement as core::clone::Clone>::clone
      53 (0.0%)      1 (0.0%)  core::iter::LoopState<<R as core::ops::try::Try>::Ok,R>::from_try
      53 (0.0%)      1 (0.0%)  ra_ssr::SsrMatches::flattened
      52 (0.0%)      1 (0.0%)  core::iter::range::<impl core::iter::traits::double_ended::DoubleEndedIterator for core::ops::range::Range<A>>::next_back
      52 (0.0%)      1 (0.0%)  ra_ssr::matching::Phase::next_non_trivial
      51 (0.0%)      1 (0.0%)  core::str::<impl str>::is_char_boundary
      51 (0.0%)      1 (0.0%)  std::thread::local::lazy::LazyKeyInner<T>::initialize
      50 (0.0%)      1 (0.0%)  ra_ssr::MatchFinder::find_matches_in_file
      49 (0.0%)     49 (0.3%)  <[T; 2] as smallvec::Array>::size
      49 (0.0%)      1 (0.0%)  core::str::traits::<impl core::slice::SliceIndex<str> for core::ops::range::Range<usize>>::get
      49 (0.0%)      1 (0.0%)  std::panicking::begin_panic
      47 (0.0%)      1 (0.0%)  <hashbrown::raw::bitmask::BitMaskIter as core::iter::traits::iterator::Iterator>::next
      46 (0.0%)      6 (0.0%)  <core::option::Option<T> as core::ops::try::Try>::into_result
      46 (0.0%)      1 (0.0%)  <ra_hir_expand::name::Repr as core::clone::Clone>::clone
      46 (0.0%)      1 (0.0%)  alloc::sync::Arc<T>::into_raw
      46 (0.0%)      1 (0.0%)  ra_ssr::matching::Matcher::attempt_match_node_children
      46 (0.0%)      1 (0.0%)  text_size::range::TextRange::contains_range
      45 (0.0%)      5 (0.0%)  hashbrown::raw::RawTable<T>::reserve_rehash::{{closure}}
      45 (0.0%)      5 (0.0%)  hashbrown::raw::RawTable<T>::try_with_capacity::{{closure}}
      45 (0.0%)      3 (0.0%)  hashbrown::map::HashMap<K,V,S>::iter
